row_id,counterparty_id,S_lp,R_hp,P_energy,vector_norm,t_diff,rank
59,79,38031.971935579575,10422.416386991828,65326358.07480464,65326369.97702571,300.0,1
21,30,33087.00143958873,10204.24190615263,57143318.074303664,57143328.56438498,300.0,2
54,74,15798.107558776877,9922.590512165416,12030356.442206835,12030370.907189537,300.0,3
49,66,13044.859387791343,10064.642117872903,5002274.718150732,5002301.852270352,300.0,4
18,25,2381.6535181284453,11401.110160113618,4135266.050389177,4135282.452878844,300.0,5
17,22,9819.812245802686,9759.026550368071,4026605.749902285,4026629.54994098,300.0,6
47,63,10104.50377412228,9771.706656019871,3801697.4807470315,3801723.467371847,300.0,7
23,32,4125.145230968261,11564.671817953591,3719424.6326611415,3719444.8989740256,300.0,8
35,47,2381.6550578608544,10728.168361324133,3433924.2620988907,3433941.846291025,300.0,9
45,60,2381.655011832972,10728.112331986262,3433924.138076194,3433941.7220938876,300.0,10
38,50,2381.655006482254,10729.511025144988,3433924.123730604,3433941.7121183644,300.0,11
52,70,2381.6549838135475,10729.838779590114,3433924.0625953865,3433941.652007544,300.0,12
3,3,2381.654438226659,10728.332700232468,3433922.581272394,3433940.16598613,300.0,13
28,37,2381.65440478508,10729.400156909887,3433922.4911282575,3433940.0791775514,300.0,14
19,26,2381.654288099306,10729.550493891102,3433922.1753039723,3433939.7638245365,300.0,15
2,2,2381.654133251179,10728.766369699313,3433921.7522760197,3433939.3383486895,300.0,16
6,7,2381.6541265264914,10729.179023611594,3433921.7363375453,3433939.3236995847,300.0,17
51,69,2381.654039386142,10728.760046668314,3433921.498452642,3433939.084506791,300.0,18
4,4,2381.6537037437834,10727.883633772251,3433920.5825781357,3433938.1658986504,300.0,19
9,10,3368.1681835216955,10726.582734674532,3423901.621769208,3423920.0807974315,300.0,20
13,17,3368.1674869955123,10730.34886557397,3090649.6441792776,3090670.1066280906,300.0,21
30,41,3368.167094926924,10728.783526020987,3053263.548496447,3053284.255997571,300.0,22
25,34,3368.168821857113,10718.971126385772,3045055.574120666,3045076.3028841424,300.0,23
42,54,3368.1684874273105,10728.067447042526,2670426.738837369,2670450.412100493,300.0,24
14,18,3368.1683245143863,10728.520674170266,2670426.498824047,2670450.173909893,300.0,25
48,65,3368.168255979508,10728.946397753634,2670426.39620585,2670450.0730028953,300.0,26
46,61,3368.168024204633,10729.270099744215,2670426.0539080235,2670449.7320083543,300.0,27
20,29,3368.1677575234676,10728.690929269147,2670425.659954018,2670449.3357305904,300.0,28
44,59,3368.1676793729785,10728.114081929183,2670425.5452284934,2670449.2186885276,300.0,29
0,0,3368.1672998752924,10729.521709386805,2670424.978921809,2670448.658041681,300.0,30
16,21,4125.146847445435,11026.816829041352,2496089.032889886,2496116.797675754,300.0,31
22,31,4125.145479389879,10690.684946069798,2411988.4366373713,2412015.656259767,300.0,32
5,5,4125.1463209242775,9002.5320809055,2328179.203674838,2328200.263473922,300.0,33
41,53,4125.146293527953,10729.68982435101,2149579.922057785,2149610.658791406,300.0,34
31,42,4125.14624917713,10729.291550670428,2149579.8812995576,2149610.6160457474,300.0,35
15,20,4125.145757412445,10728.375024947445,2149579.404481634,2149610.1346592624,300.0,36
10,11,4125.1467668800715,8970.035065893506,2139130.4612136385,2139153.2456691843,300.0,37
36,48,5325.54207248641,10897.432705259014,1999578.4947009739,1999615.280974954,300.0,38
39,51,4763.309987081436,10852.101697990991,1959451.406276626,1959487.2469074004,300.0,39
32,43,4763.3090886750115,10729.100216449873,1907333.03204691,1907369.1561525753,300.0,40
8,9,3368.1680589126254,6528.168953742603,1816734.588923929,1816749.4401096038,300.0,41
26,35,4763.307976510773,10728.15359209084,1754338.8072803547,1754378.075875389,300.0,42
37,49,15434.88501194836,10715.639515346867,1632148.465235188,1632256.6198901245,300.0,43
11,14,5325.54074732936,10819.377898578368,1569391.0722973067,1569437.4017872945,300.0,44
50,67,6301.264760463668,11073.444156053321,1550882.499363313,1550934.832265513,300.0,45
1,1,4763.309064965678,8884.450677820967,1512963.1525161644,1512996.7360998322,300.0,46
58,78,4125.1473156898965,8713.917749893399,1496800.6225580145,1496831.6715292297,300.0,47
57,77,8587.178648782594,10146.96414195692,1445732.9984903957,1445794.1082472547,300.0,48
24,33,5325.5419491719895,10727.909627396173,1439367.7245976552,1439417.5544488323,300.0,49
43,58,5325.541187956483,10728.157809102742,1439367.352676427,1439417.1843873712,300.0,50
53,73,3368.1686191502213,7359.628161326017,1421510.5087610998,1421533.5505026819,300.0,51
27,36,5833.838368252851,10729.035976247893,1181412.7200436306,1181475.8401947864,300.0,52
40,52,5833.837513019941,10728.911555815179,1181412.4093825244,1181475.5284161929,300.0,53
34,46,8250.293773925594,10160.010410299767,1110685.748872517,1110762.8576376676,300.0,54
29,38,7144.964412743942,10914.097673941058,920376.243528173,920468.6837125566,300.0,55
7,8,2381.654566097557,3818.5111334623507,918795.6218416956,918806.6434355036,300.0,56
55,75,7531.452658683516,10891.323474507339,794818.3337145572,794928.6303278815,300.0,57
12,16,6736.335862466001,10728.991942362336,786118.4059445017,786220.4764909622,300.0,58
56,76,8250.292793295039,10746.489877927015,355598.3013147553,355856.30003389146,300.0,59
33,45,9526.617969642431,10865.437640626764,236577.16294258705,237018.07570526187,300.0,60
