t_diff,rayleigh,mean_S_lp,mean_R_hp
30.0,0.0001399105232587484,6051.852197437973,10292.941408361112
60.0,4.2395903734946145e-06,6023.135013869957,10312.42544291322
120.0,1.6293857775251836e-08,6025.642868653559,10324.286136882982
300.0,1.7006492752967977e-15,6025.777130382897,10324.973475541603
